emission energy,singlet,doublet,triplet,quartet,quintet
7046.5,0.03387,0.034528,0.037166,0.043227,0.046793
7046.6,0.03418,0.035109,0.037312,0.043098,0.046742
7046.7,0.034465,0.035468,0.037462,0.042972,0.046613
7046.8,0.034675,0.035797,0.037606,0.042836,0.046301
7046.9,0.034845,0.035858,0.037737,0.042628,0.04599
7047,0.035014,0.035631,0.037861,0.042363,0.045679
7047.1,0.035287,0.03537,0.038048,0.042105,0.045675
7047.2,0.035632,0.035872,0.0383,0.041898,0.045672
7047.3,0.035976,0.036476,0.038625,0.041678,0.045668
7047.4,0.036346,0.03677,0.039105,0.041375,0.045414
7047.5,0.036746,0.036694,0.039667,0.040998,0.045053
7047.6,0.037154,0.036573,0.039843,0.04074,0.044692
7047.7,0.037567,0.037214,0.039612,0.041162,0.044376
7047.8,0.038,0.037959,0.039576,0.041542,0.044166
7047.9,0.038442,0.038278,0.03994,0.041627,0.043957
7048,0.038885,0.03813,0.040499,0.041466,0.043747
7048.1,0.039389,0.037934,0.040715,0.041202,0.043585
7048.2,0.039935,0.038135,0.040576,0.040396,0.043422
7048.3,0.040481,0.038389,0.040552,0.039709,0.04326
7048.4,0.040983,0.038758,0.040773,0.039828,0.043145
7048.5,0.041437,0.039266,0.041123,0.040669,0.04305
7048.6,0.041877,0.039791,0.041406,0.041315,0.042954
7048.7,0.042313,0.03974,0.041617,0.040833,0.042864
7048.8,0.042737,0.039603,0.041867,0.040355,0.04278
7048.9,0.043157,0.039779,0.0422,0.040022,0.042697
7049,0.043576,0.040329,0.042577,0.03982,0.042614
7049.1,0.044015,0.04092,0.043008,0.039727,0.042499
7049.2,0.044467,0.041277,0.043494,0.040212,0.042385
7049.3,0.04492,0.041604,0.043908,0.04069,0.04227
7049.4,0.045374,0.041911,0.044175,0.041123,0.042197
7049.5,0.045829,0.042196,0.044368,0.041517,0.042142
7049.6,0.046285,0.042479,0.044656,0.041862,0.042086
7049.7,0.046742,0.042282,0.045044,0.041922,0.042047
7049.8,0.047202,0.042019,0.045393,0.041953,0.042047
7049.9,0.047663,0.042265,0.045665,0.041794,0.042047
7050,0.048124,0.043058,0.045897,0.041482,0.042047
7050.1,0.048513,0.043915,0.046173,0.041238,0.041942
7050.2,0.048852,0.04391,0.046492,0.041392,0.041837
7050.3,0.049192,0.043791,0.046761,0.041546,0.041732
7050.4,0.0496,0.044367,0.046927,0.041705,0.041682
7050.5,0.050084,0.04569,0.047043,0.041869,0.041654
7050.6,0.050588,0.047099,0.047291,0.04202,0.041626
7050.7,0.051093,0.046681,0.047679,0.042089,0.041635
7050.8,0.051596,0.046001,0.04812,0.042177,0.041731
7050.9,0.0521,0.046057,0.048665,0.042394,0.041826
7051,0.052603,0.046948,0.049263,0.042722,0.041921
7051.1,0.053074,0.047935,0.049857,0.043109,0.042005
7051.2,0.053523,0.048347,0.050449,0.043831,0.042088
7051.3,0.053971,0.048684,0.051063,0.044543,0.042171
7051.4,0.054454,0.049279,0.051724,0.045194,0.042302
7051.5,0.054984,0.050155,0.052408,0.045794,0.042464
7051.6,0.05553,0.051059,0.053016,0.046378,0.042626
7051.7,0.056063,0.051364,0.053544,0.046875,0.042823
7051.8,0.056556,0.051591,0.054197,0.047354,0.043099
7051.9,0.057028,0.051707,0.055102,0.047711,0.043376
7052,0.0575,0.051702,0.056135,0.047964,0.043652
7052.1,0.05789,0.051682,0.057146,0.048272,0.043948
7052.2,0.058222,0.052623,0.058135,0.048886,0.044244
7052.3,0.058555,0.053691,0.059155,0.049454,0.044539
7052.4,0.058946,0.054752,0.060242,0.049702,0.044952
7052.5,0.059401,0.055803,0.06136,0.049672,0.045415
7052.6,0.059874,0.056849,0.062197,0.049921,0.045878
7052.7,0.060346,0.057702,0.062745,0.05165,0.046388
7052.8,0.060817,0.058529,0.063469,0.053278,0.047007
7052.9,0.061288,0.059372,0.064553,0.054231,0.047627
7053,0.061758,0.060233,0.065822,0.054608,0.048247
7053.1,0.062332,0.061096,0.067077,0.055127,0.049029
7053.2,0.062977,0.062184,0.068316,0.056462,0.049811
7053.3,0.063621,0.063305,0.069472,0.057802,0.050593
7053.4,0.064339,0.064049,0.070458,0.059062,0.051528
7053.5,0.065139,0.064355,0.071353,0.060251,0.052528
7053.6,0.06596,0.064624,0.072051,0.061347,0.053527
7053.7,0.066816,0.066306,0.072545,0.061934,0.05463
7053.8,0.067775,0.068176,0.073287,0.062613,0.055975
7053.9,0.06879,0.069567,0.07452,0.063902,0.05732
7054,0.069806,0.07045,0.075995,0.065677,0.058665
7054.1,0.071001,0.071275,0.077373,0.067318,0.059925
7054.2,0.07232,0.073098,0.078647,0.068193,0.061184
7054.3,0.07364,0.075063,0.079972,0.069067,0.062444
7054.4,0.075308,0.076873,0.081408,0.069981,0.063843
7054.5,0.077449,0.078498,0.082901,0.07093,0.065334
7054.6,0.07975,0.080102,0.084583,0.071973,0.066825
7054.7,0.08215,0.082258,0.086467,0.073558,0.068366
7054.8,0.084849,0.084494,0.088315,0.075185,0.070022
7054.9,0.087706,0.086966,0.090081,0.077067,0.071679
7055,0.090564,0.089719,0.091804,0.079176,0.073335
7055.1,0.094051,0.092485,0.093539,0.081257,0.075233
7055.2,0.097969,0.094182,0.095284,0.083193,0.077131
7055.3,0.10189,0.095738,0.097068,0.085169,0.079028
7055.4,0.10589,0.098423,0.098929,0.087414,0.081077
7055.5,0.11,0.10234,0.10083,0.089881,0.08319
7055.6,0.11413,0.10641,0.10319,0.092356,0.085303
7055.7,0.11852,0.10986,0.10604,0.094874,0.087553
7055.8,0.12368,0.11323,0.1091,0.097428,0.090124
7055.9,0.12925,0.11753,0.11259,0.10022,0.092695
7056,0.13483,0.12299,0.11632,0.10324,0.095265
7056.1,0.14113,0.12858,0.11945,0.10621,0.098251
7056.2,0.14794,0.13291,0.12193,0.10887,0.10124
7056.3,0.15475,0.13707,0.12481,0.11156,0.10422
7056.4,0.16229,0.14194,0.12846,0.11436,0.10759
7056.5,0.17067,0.14755,0.13249,0.11724,0.11113
7056.6,0.17926,0.15325,0.13662,0.12025,0.11467
7056.7,0.1879,0.15975,0.14083,0.12397,0.11845
7056.8,0.19667,0.16636,0.14503,0.12777,0.12261
7056.9,0.20549,0.17262,0.14921,0.13207,0.12676
7057,0.21432,0.17846,0.15337,0.1368,0.13092
7057.1,0.22315,0.18428,0.15767,0.14157,0.13541
7057.2,0.23199,0.19113,0.16212,0.14661,0.1399
7057.3,0.24084,0.19812,0.16663,0.15165,0.1444
7057.4,0.2489,0.20508,0.17128,0.15668,0.14871
7057.5,0.2561,0.212,0.176,0.16171,0.15294
7057.6,0.26307,0.21892,0.18136,0.16672,0.15717
7057.7,0.26953,0.22565,0.1874,0.17172,0.16144
7057.8,0.27448,0.23236,0.19307,0.17673,0.16582
7057.9,0.27861,0.23744,0.19801,0.1818,0.17019
7058,0.28275,0.24075,0.20259,0.18693,0.17456
7058.1,0.28451,0.24386,0.20732,0.19199,0.17894
7058.2,0.28462,0.24756,0.21221,0.19663,0.18331
7058.3,0.28473,0.25132,0.21701,0.20131,0.18768
7058.4,0.28275,0.25416,0.22163,0.20625,0.19158
7058.5,0.27841,0.25594,0.22616,0.21142,0.19527
7058.6,0.27346,0.25759,0.23018,0.21647,0.19897
7058.7,0.26792,0.25739,0.23364,0.22079,0.20259
7058.8,0.26059,0.25691,0.23656,0.22499,0.20606
7058.9,0.25231,0.25536,0.2384,0.22843,0.20953
7059,0.24403,0.25263,0.2397,0.23126,0.213
7059.1,0.23514,0.24977,0.24077,0.23396,0.21542
7059.2,0.22582,0.2448,0.24161,0.23587,0.21784
7059.3,0.21651,0.23953,0.24185,0.2376,0.22026
7059.4,0.20705,0.23398,0.24091,0.23808,0.22174
7059.5,0.19742,0.22811,0.23938,0.23754,0.22282
7059.6,0.18775,0.22221,0.23677,0.2367,0.22389
7059.7,0.17825,0.21378,0.23301,0.23411,0.22449
7059.8,0.16929,0.20501,0.22824,0.23138,0.22396
7059.9,0.16061,0.19601,0.22143,0.22772,0.22343
7060,0.15193,0.18675,0.21358,0.22328,0.2229
7060.1,0.14415,0.17748,0.20561,0.21815,0.22012
7060.2,0.13698,0.16889,0.1975,0.20935,0.21734
7060.3,0.12981,0.16039,0.18886,0.20061,0.21456
7060.4,0.12297,0.15187,0.17907,0.19226,0.20984
7060.5,0.11648,0.14332,0.16868,0.18424,0.20429
7060.6,0.11008,0.13477,0.15842,0.1761,0.19874
7060.7,0.10373,0.12778,0.14831,0.1672,0.19253
7060.8,0.097507,0.12103,0.13847,0.15832,0.18482
7060.9,0.091355,0.1142,0.12917,0.1496,0.1771
7061,0.085203,0.10726,0.12016,0.14103,0.16938
7061.1,0.080182,0.1003,0.11199,0.13253,0.1605
7061.2,0.075936,0.094778,0.10472,0.12441,0.15162
7061.3,0.07169,0.089464,0.097769,0.11638,0.14273
7061.4,0.067474,0.08437,0.091442,0.10894,0.13413
7061.5,0.063298,0.079511,0.08543,0.10196,0.12573
7061.6,0.059135,0.074688,0.080022,0.095229,0.11732
7061.7,0.055265,0.070704,0.075242,0.089827,0.10935
