,Delay,Singlet,Triplet,Quintet
0,-150.0,100.0,0.0,0.0
1,-100.0,100.0,0.0,0.0
2,-50.0,99.93746655300998,0.06253344699000751,0.0
3,0.0,82.0,0.0,18.0
4,50.0,100.0,0.0,0.0
5,100.0,100.0,0.0,0.0
6,150.0,100.0,0.0,0.0
7,200.0,100.0,0.0,0.0
8,300.0,100.0,0.0,0.0
9,400.0,100.0,0.0,0.0
10,600.0,100.0,0.0,0.0
11,800.0,100.0,0.0,0.0
